theta0,theta1,is_valid
-13,21,False
-13,23,False
-13,25,False
-13,27,False
-13,29,False
-13,31,False
-13,33,False
-13,35,False
-11,-35,False
-11,-33,False
-11,-31,False
-11,-29,True
-11,-27,True
-11,-25,True
-11,-23,True
-11,-21,True
-11,-19,True
-11,-17,True
-11,-15,True
-11,-13,True
-11,-11,True
-11,-9,True
-11,-7,True
-11,-5,True
-11,-3,True
-11,-1,True
-11,1,True
-11,3,True
-11,5,True
-11,7,True
-11,9,True
-11,11,True
-11,13,True
-11,15,True
-11,17,False
-11,19,False
-11,21,False
-11,23,False
-11,25,False
-11,27,False
-11,29,False
-11,31,False
-11,33,False
-11,35,False
-9,-35,False
-9,-33,False
-9,-31,False
-9,-29,True
-9,-27,True
-9,-25,True
-9,-23,True
-9,-21,True
-9,-19,True
-9,-17,True
-9,-15,True
-9,-13,True
-9,-11,True
-9,-9,True
-9,-7,True
-9,-5,True
-9,-3,True
-9,-1,True
-9,1,True
-9,3,True
-9,5,True
-9,7,True
-9,9,True
-9,11,True
-9,13,True
-9,15,True
-9,17,True
-9,19,False
-9,21,False
-9,23,False
-9,25,False
-9,27,False
-9,29,False
-9,31,False
-9,33,False
-9,35,False
-7,-35,False
-7,-33,False
-7,-31,False
-7,-29,False
-7,-27,True
-7,-25,True
-7,-23,True
-7,-21,True
-7,-19,True
-7,-17,True
-7,-15,True
-7,-13,True
-7,-11,True
-7,-9,True
-7,-7,True
-7,-5,True
-7,-3,True
-7,-1,True
-7,1,True
-7,3,True
-7,5,True
-7,7,True
-7,9,True
-7,11,True
-7,13,True
-7,15,True
-7,17,True
-7,19,True
-7,21,False
-7,23,False
-7,25,False
-7,27,False
-7,29,False
-7,31,False
-7,33,False
-7,35,False
-5,-35,False
-5,-33,False
-5,-31,False
-5,-29,False
-5,-27,True
-5,-25,True
-5,-23,True
-5,-21,True
-5,-19,True
-5,-17,True
-5,-15,True
-5,-13,True
-5,-11,True
-5,-9,True
-5,-7,True
-5,-5,True
-5,-3,True
-5,-1,True
-5,1,True
-5,3,True
-5,5,True
-5,7,True
-5,9,True
-5,11,True
-5,13,True
-5,15,True
-5,17,True
-5,19,True
-5,21,True
-5,23,False
-5,25,False
-5,27,False
-5,29,False
-5,31,False
-5,33,False
-5,35,False
-3,-35,False
-3,-33,False
-3,-31,False
-3,-29,False
-3,-27,False
-3,-25,True
-3,-23,True
-3,-21,True
-3,-19,True
-3,-17,True
-3,-15,True
-3,-13,True
-3,-11,True
-3,-9,True
-3,-7,True
-3,-5,True
-3,-3,True
-3,-1,True
-3,1,True
-3,3,True
-3,5,True
-3,7,True
-3,9,True
-3,11,True
-3,13,True
-3,15,True
-3,17,True
-3,19,True
-3,21,True
-3,23,False
-3,25,False
-3,27,False
-3,29,False
-3,31,False
-3,33,False
-3,35,False
-1,-35,False
-1,-33,False
-1,-31,False
-1,-29,False
-1,-27,False
-1,-25,True
-1,-23,True
-1,-21,True
-1,-19,True
-1,-17,True
-1,-15,True
-1,-13,True
-1,-11,True
-1,-9,True
-1,-7,True
-1,-5,True
-1,-3,True
-1,-1,True
-1,1,True
-1,3,True
-1,5,True
-1,7,True
-1,9,True
-1,11,True
-1,13,True
-1,15,True
-1,17,True
-1,19,True
-1,21,True
-1,23,True
-1,25,False
-1,27,False
-1,29,False
-1,31,False
-1,33,False
-1,35,False
1,-35,False
1,-33,False
1,-31,False
1,-29,False
1,-27,False
1,-25,False
1,-23,True
1,-21,True
1,-19,True
1,-17,True
1,-15,True
1,-13,True
1,-11,True
1,-9,True
1,-7,True
1,-5,True
1,-3,True
1,-1,True
1,1,True
1,3,True
1,5,True
1,7,True
1,9,True
1,11,True
1,13,True
1,15,True
1,17,True
1,19,True
1,21,True
1,23,True
1,25,True
1,27,False
1,29,False
1,31,False
1,33,False
1,35,False
3,-35,False
3,-33,False
3,-31,False
3,-29,False
3,-27,False
3,-25,False
3,-23,False
3,-21,True
3,-19,True
3,-17,True
3,-15,True
3,-13,True
3,-11,True
3,-9,True
3,-7,True
3,-5,True
3,-3,True
3,-1,True
3,1,True
3,3,True
3,5,True
3,7,True
3,9,True
3,11,True
3,13,True
3,15,True
3,17,True
3,19,True
3,21,True
3,23,True
3,25,True
3,27,False
3,29,False
3,31,False
3,33,False
3,35,False
5,-35,False
5,-33,False
5,-31,False
5,-29,False
5,-27,False
5,-25,False
5,-23,False
5,-21,True
5,-19,True
5,-17,True
5,-15,True
5,-13,True
5,-11,True
5,-9,True
5,-7,True
5,-5,True
5,-3,True
5,-1,True
5,1,True
5,3,True
5,5,True
5,7,True
5,9,True
5,11,True
5,13,True
5,15,True
5,17,True
5,19,True
5,21,True
5,23,True
5,25,True
5,27,True
5,29,False
5,31,False
5,33,False
5,35,False
7,-35,False
7,-33,False
7,-31,False
7,-29,False
7,-27,False
7,-25,False
7,-23,False
7,-21,False
7,-19,True
7,-17,True
7,-15,True
7,-13,True
7,-11,True
7,-9,True
7,-7,True
7,-5,True
7,-3,True
7,-1,True
7,1,True
7,3,True
7,5,True
7,7,True
7,9,True
7,11,True
7,13,True
7,15,True
7,17,True
7,19,True
7,21,True
7,23,True
7,25,True
7,27,True
7,29,False
7,31,False
7,33,False
7,35,False
9,-35,False
9,-33,False
9,-31,False
9,-29,False
9,-27,False
9,-25,False
9,-23,False
9,-21,False
9,-19,False
9,-17,True
9,-15,True
9,-13,True
9,-11,True
9,-9,True
9,-7,True
9,-5,True
9,-3,True
9,-1,True
9,1,True
9,3,True
9,5,True
9,7,True
9,9,True
9,11,True
9,13,True
9,15,True
9,17,True
9,19,True
9,21,True
9,23,True
9,25,True
9,27,True
9,29,True
9,31,False
9,33,False
9,35,False
11,-35,False
11,-33,False
11,-31,False
11,-29,False
11,-27,False
11,-25,False
11,-23,False
11,-21,False
11,-19,False
11,-17,False
11,-15,True
11,-13,True
11,-11,True
11,-9,True
11,-7,True
11,-5,True
11,-3,True
11,-1,True
11,1,True
11,3,True
11,5,True
11,7,True
11,9,True
11,11,True
11,13,True
11,15,True
11,17,True
11,19,True
11,21,True
11,23,True
11,25,True
11,27,True
11,29,True
11,31,False
11,33,False
11,35,False
13,-35,False
13,-33,False
13,-31,False
13,-29,False
13,-27,False
13,-25,False
13,-23,False
13,-21,False
13,-19,False
13,-17,False
13,-15,True
13,-13,True
13,-11,True
13,-9,True
13,-7,True
